时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
2043.8335483074188	nan	2441.73	3993.3	4.52534324e-05
2044.5679333209991	nan	2441.71	3993.3	4.47912281e-05
2045.3013072013855	nan	2441.7	3993.3	4.42073912e-05
2046.049387216568	nan	2441.65	3993.2	4.59224122e-05
2046.8074934482574	nan	2441.66	3993.3	4.48520445e-05
2047.6284322738647	nan	2441.65	3993.4	4.62751408e-05
2048.3612399101257	nan	2441.68	3993.1	4.44506506e-05
2049.1415338516235	nan	2441.64	3993.2	4.53020794e-05
2049.874105453491	nan	2441.62	3993.0	4.52655895e-05
2050.605590581894	nan	2441.64	3993.2	4.42803748e-05
2051.3395421504974	nan	2441.63	3993.3	4.56304978e-05
2052.075649499893	nan	2441.63	3993.4	4.53993957e-05
2052.810208082199	nan	2441.65	3993.6	4.50466608e-05
2053.544068336487	nan	2441.65	3993.4	4.55331917e-05
2054.2795696258545	nan	2441.62	3991.1	4.40614405e-05
2055.0426139831543	nan	2441.63	3990.1	4.53750739e-05
2055.8073692321777	nan	2441.62	3990.0	4.49007063e-05
2056.538961172104	nan	2441.61	3989.7	4.5873768e-05
2057.2730553150177	nan	2441.64	3989.7	4.41465834e-05
2058.0100746154785	nan	2441.64	3989.4	4.43168803e-05
2058.8284859657288	nan	2441.6	3989.6	4.47669214e-05
2059.5612547397614	nan	2441.59	3991.7	4.44506763e-05
2060.294360399246	nan	2441.57	3992.6	4.55696976e-05
2061.0388910770416	nan	2441.56	3992.9	4.64697799e-05
2061.8099167346954	nan	2441.54	3993.1	4.493719e-05
2062.5549392700195	nan	2441.53	3993.0	4.57521291e-05
2063.2876777648926	nan	2441.5	3992.9	4.50466594e-05
2064.0497369766235	nan	2441.56	3993.1	4.56913127e-05
2064.8079216480255	nan	2441.52	3993.1	4.54723667e-05
2065.5424196720123	nan	2441.49	3992.8	4.45479583e-05
2066.2765431404114	nan	2441.52	3992.7	4.50101625e-05
2067.0088119506836	nan	2441.51	3992.8	4.35262438e-05
2067.836580514908	nan	2441.53	3993.0	4.50709788e-05
2068.5692558288574	nan	2441.48	3992.7	4.39884493e-05
2069.323304414749	nan	2441.49	3993.0	4.48155516e-05
2070.145594596863	nan	2441.49	3993.2	4.36965309e-05
2070.8775289058685	nan	2441.5	3993.0	4.4292531e-05
2071.646942615509	nan	2441.53	3992.8	4.71387359e-05
2072.3803391456604	nan	2441.48	3992.7	4.7309028e-05
2073.1516342163086	nan	2441.49	3992.6	4.44993126e-05
2073.8862590789795	nan	2441.46	3992.9	4.5958905e-05
2074.6379549503326	nan	2441.45	3992.6	4.4608782e-05
2075.373655319214	nan	2441.45	3992.6	4.58494253e-05
2076.1063418388367	nan	2441.41	3992.9	4.54723641e-05
2076.839859008789	nan	2441.43	3993.0	4.61413438e-05
2077.5742983818054	nan	2441.43	3993.0	4.53628946e-05
2078.308050632477	nan	2441.44	3993.1	4.4925017e-05
2079.0505709648132	nan	2441.4	3992.6	4.65427521e-05
2079.8077285289764	nan	2441.41	3992.6	4.4888547e-05
2080.5404710769653	nan	2441.39	3992.7	4.44506692e-05
2081.277045726776	nan	2441.38	3992.7	4.54723841e-05
2082.016443967819	nan	2441.38	3992.8	4.63846296e-05
2082.808950662613	nan	2441.35	3992.7	4.48520502e-05
2083.542881965637	nan	2441.38	3992.9	4.56304996e-05
2084.2772331237793	nan	2441.38	3992.7	4.62873162e-05
2085.0148420333862	nan	2441.39	3992.9	4.66157245e-05
2085.838806629181	nan	2441.39	3992.8	4.619001e-05
2086.5776932239532	nan	2441.34	3992.8	4.60197234e-05
2087.310660839081	nan	2441.34	3993.0	4.46696003e-05
2088.0503029823303	nan	2441.35	3993.0	4.46939269e-05
2088.8057746887207	nan	2441.35	3992.8	4.64940909e-05
2089.5396807193756	nan	2441.34	3992.8	4.46209473e-05
2090.2846145629883	nan	2441.34	3992.9	4.62873459e-05
2091.044265270233	nan	2441.35	3993.0	4.52048141e-05
2091.8072679042816	nan	2441.36	3992.8	4.54115898e-05
2092.5405085086823	nan	2441.33	3992.8	4.53021203e-05
2093.2804160118103	nan	2441.34	3992.9	4.54602317e-05
2094.014259338379	nan	2441.33	3993.1	4.42195776e-05
2094.8149433135986	nan	2441.27	3993.0	4.46696188e-05
2095.5488860607147	nan	2441.29	3992.9	4.60319057e-05
2096.2823345661163	nan	2441.3	3993.0	4.49250476e-05
2097.0334639549255	nan	2441.28	3993.1	4.7114445e-05
2097.806479692459	nan	2441.3	3993.2	4.54237494e-05
2098.5405406951904	nan	2441.28	3993.2	4.50223612e-05
2099.3470339775085	nan	2441.29	3993.0	4.39033396e-05
2100.084810256958	nan	2441.26	3992.7	4.58737906e-05
2100.832545042038	nan	2441.28	3992.8	4.62143533e-05
2101.5663487911224	nan	2441.28	3992.6	4.56183529e-05
2102.299472093582	nan	2441.24	3992.7	4.60197409e-05
