时间秒	热浴温度	A侧	B侧	C侧	D侧
1462.458743572235	2.229706797762382	1824.45	520.09	3001.8	1798.38
1465.46018576622	2.2293245957440497	1824.4	520.16	3002.2	1798.35
1468.4586322307587	2.228942461497713	1824.39	520.23	3002.1	1798.38
1471.4533910751343	2.2291608155739553	1824.35	520.19	3002.2	1798.38
1474.4540710449219	2.22921540757658	1824.39	520.18	3002.2	1798.45
1477.4614894390106	2.2288878764751	1824.33	520.24	3002.2	1798.51
1480.4528830051422	2.228942461497713	1824.36	520.23	3002.6	1798.45
1483.4584925174713	2.228778710643645	1824.28	520.26	3002.2	1798.54
1486.4527478218079	2.228778710643645	1824.45	520.26	3002.7	1798.55
1489.4591190814972	2.2286149724694773	1824.38	520.29	3002.2	1798.63
1492.4590165615082	2.2284512470446356	1824.38	520.32	3002.4	1798.67
1495.4579520225525	2.2282329664303204	1824.32	520.36	3002.3	1798.67
1498.454873085022	2.2280147087689315	1824.26	520.4	3002.6	1798.65
1501.4575374126434	2.2280692710234713	1824.36	520.39	3002.8	1798.76
1504.461626291275	2.227851030684377	1824.31	520.43	3002.9	1798.63
1507.4528648853302	2.227851030684377	1824.32	520.43	3002.7	1798.69
1510.4626541137695	2.2277419192194783	1824.29	520.45	3002.6	1798.81
1513.461624622345	2.2276873656721388	1824.24	520.46	3002.8	1798.82
1516.457491159439	2.2274691661097745	1824.35	520.5	3002.9	1798.86
1519.4589104652405	2.227305531867791	1824.31	520.53	3003.0	1798.85
1522.4566695690155	2.2272509900730677	1824.42	520.54	3003.0	1798.91
1525.4610514640808	2.2271964497588908	1824.55	520.55	3003.0	1798.89
1528.4603521823883	2.2270328377251034	1824.69	520.58	3002.9	1798.92
1531.4587037563324	2.226978303358566	1824.67	520.59	3003.0	1798.96
1534.4594793319702	2.226978303358566	1824.7	520.59	3003.0	1799.02
1537.454719543457	2.226814709228724	1824.67	520.62	3003.2	1799.05
1540.4544684886932	2.226814709228724	1824.66	520.62	3003.5	1799.01
1543.4538826942444	2.2265966047465224	1824.8	520.66	3003.5	1799.03
1546.455534696579	2.226487561561482	1824.83	520.68	3003.5	1799.06
1549.4561338424683	2.226487561561482	1824.63	520.68	3003.6	1799.13
1552.4564032554626	2.2262149801749436	1824.51	520.73	3003.2	1799.15
1555.4610409736633	2.226105958303891	1824.56	520.75	3003.3	1799.04
1558.4526908397675	2.2259969425680617	1824.47	520.77	3003.6	1799.2
1561.45565533638	2.2259969425680617	1824.54	520.77	3003.5	1799.24
1564.4609105587006	2.226051449667811	1824.41	520.76	3003.3	1799.23
1567.4571614265442	2.225887932987651	1824.41	520.79	3003.4	1799.28
1570.4541907310486	2.2256699323738043	1824.45	520.83	3003.6	1799.33
1573.4528818130493	2.225615436098997	1824.41	520.84	3003.7	1799.24
1576.461766242981	2.225397466589896	1824.32	520.88	3003.9	1799.32
1579.4610307216644	2.2252884912246262	1824.29	520.9	3004.0	1799.35
1582.4617340564728	2.2251795221456745	1824.28	520.92	3003.9	1799.34
1585.4525516033173	2.225070559373118	1824.31	520.94	3003.6	1799.43
1588.4592571258545	2.2250160803580075	1824.23	520.95	3003.8	1799.4
1591.4624917507172	2.225070559373118	1824.29	520.94	3003.8	1799.47
1594.4593827724457	2.224961602927018	1824.3	520.96	3004.1	1799.52
1597.4568293094635	2.2246892396215205	1824.28	521.01	3004.1	1799.52
